Event,Latitude (Decimal deg),Longitude (Decimal deg),Station,Depth (m),Label,Source,YOUR DATA mean (units),YOUR DATA sd (units),Comments,,
1004,48.817,231.334,P8,20,1,GoFlo,,,,,
1004,48.817,231.334,P8,20,2,GoFlo,,,,,
1004,48.817,231.334,P8,33,3,GoFlo,,,,,
1004,48.817,231.334,P8,33,4,GoFlo,,,,,
1004,48.817,231.334,P8,50,5,GoFlo,,,,,
1004,48.817,231.334,P8,50,6,GoFlo,,,,,
1004,48.817,231.334,P8,70,7,GoFlo,,,,,
1004,48.817,231.334,P8,70,8,GoFlo,,,,,
1004,48.817,231.334,P8,100,9,GoFlo,,,,,
1004,48.817,231.334,P8,100,10,GoFlo,,,,,
1004,48.817,231.334,P8,125,11,GoFlo,,,,,
1004,48.817,231.334,P8,125,12,GoFlo,,,,,
1004,48.817,231.334,P8,150,13,GoFlo,,,,,
1004,48.817,231.334,P8,150,14,GoFlo,,,,,
1004,48.817,231.334,P8,200,15,GoFlo,,,,,
1004,48.817,231.334,P8,200,16,GoFlo,,,,,
1004,48.817,231.334,P8,300,17,GoFlo,,,,,
1004,48.817,231.334,P8,500,18,GoFlo,,,,,
1004,48.817,231.334,P8,500,19,GoFlo,,,,,
1004,48.817,231.334,P8,750,20,GoFlo,,,,,
1004,48.817,231.334,P8,1000,21,GoFlo,,,,,
1004,48.817,231.334,P8,1000,22,GoFlo,,,,,
1004,48.817,231.334,P8,1500,23,GoFlo,,,,,
1004,48.817,231.334,P8,2000,24,GoFlo,,,,,
1008,48.817,231.334,P8,70,55,GoFlo,,,,,
1008,48.817,231.334,P8,70,54,GoFlo,,,,,
1008,48.817,231.334,P8,70,53,GoFlo,,,,,
1008,48.817,231.334,P8,70,52,GoFlo,,,,,
1013,48.743,232.333,P6,20,28,GoFlo,,,,,
1013,48.743,232.333,P6,20,29,GoFlo,,,,,
1013,48.743,232.333,P6,30,30,GoFlo,,,,,
1013,48.743,232.333,P6,30,31,GoFlo,,,,,
1013,48.743,232.333,P6,45,32,GoFlo,,,,,
1013,48.743,232.333,P6,45,33,GoFlo,,,,,
